case,cvc,pcvc
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl210.smt2,56,89
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn985.smt2,103,119
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn432.smt2,77,84
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl328.smt2,85,121
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn1181.smt2,46,69
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl1236.smt2,48,66
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn1106.smt2,92,130
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl633.smt2,807,874
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl145.smt2,75,87
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl1181.smt2,215,269
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn254.smt2,79,148
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn085.smt2,93,140
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn699.smt2,147,121
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn735.smt2,77,87
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl938.smt2,747,922
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn400.smt2,51,67
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl371.smt2,635,781
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn034.smt2,144,194
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl131.smt2,1036,1189
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl1077.smt2,104,96
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl372.smt2,739,1029
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl1226.smt2,250,463
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn839.smt2,99,86
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn337.smt2,64,101
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn546.smt2,81,116
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn848.smt2,64,82
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl002.smt2,58,55
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn304.smt2,70,93
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn1231.smt2,66,94
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl514.smt2,589,718
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl796.smt2,377,435
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn1317.smt2,53,66
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn155.smt2,58,99
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl1229.smt2,126,156
